Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocD,esc,Sponsor,ProgramKey,NumPOCs
Acadia NP,ACAD1,IMPFSPED,US,ME,23009,230090103,44.3771,-68.261,157,3/2/88,12/31/18,-999,Unknown,-999,Park,Headquarters,NPS,IMPROVE,1
Addison Pinnacle,ADPI1,IMPFSPED,US,NY,36101,361019000,42.0912,-77.2099,512,4/4/01,6/28/10,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Agua Tibia,AGTI1,IMPFSPED,US,CA,6065,60659000,33.4636,-116.9706,507,12/20/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Ambler,AMBL1,IMPFSPED,US,AK,2188,21889000,67.09934,-157.8628,77,9/3/03,11/29/04,-999,-999,-999,-999,,NPS,IMPROVE,1
Arches NP,ARCH1,IMPFSPED,US,UT,49019,490190101,38.7833,-109.5833,1722,3/2/88,12/29/99,-999,Unknown,-999,Devi,ls Garden Campground,-999,IMPROVE,1
Arendtsville,AREN1,IMPFSPED,US,PA,42001,420019000,39.9232,-77.3079,267,4/4/01,12/31/10,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Badlands NP,BADL1,IMPFSPED,US,SD,46071,460710001,43.7435,-101.9412,736,3/2/88,12/31/18,-999,Unknown,-999,Park,Headquarters,NPS,IMPROVE,1
Baengnyeong Island,BYIS1,IMPFSPED,KR,-999,-999,-999,37.9659,124.6308,100,3/20/13,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,2
Baengnyeong Island Co-located A Module,BYISX,IMPFSPED,KR,-999,-999,-999,37.9659,124.6308,100,4/23/14,7/29/15,-999,-999,-999,-999,,-999,IMPROVE,1
Baltimore,BALT1,IMPFSPED,US,MD,24005,240059000,39.2547,-76.7093,78,6/2/04,12/31/06,-999,-999,-999,-999,,SPECIAL,IMPROVE,1
Bandelier NM,BAND1,IMPFSPED,US,NM,35028,350281002,35.7797,-106.2664,1988,3/2/88,12/31/18,-999,Unknown,-999,Fire,Tower near VC,NPS,IMPROVE,1
Barrier Lake,BALA1,IMPFSPED,CA,AB,-999,-999,51.029,-115.0336,1391,1/15/11,3/29/17,-999,-999,-999,-999,,Environment Canada,IMPROVE,1
Big Bend NP,BIBE1,IMPFSPED,US,TX,48043,480430101,29.3027,-103.178,1066,3/2/88,12/31/18,-999,Unknown,-999,3 mi,"les SE of Panther Junction, at water well",NPS,IMPROVE,2
Bliss SP (TRPA),BLIS1,IMPFSPED,US,CA,6017,60179000,38.9761,-120.1025,2130,9/1/90,12/31/18,-999,Unknown,-999,Abov,"e SW shore of Lake Tahoe, CA,1/4 mile beyond headquarters on the servi",ce road                                             USFS,IMPROVE,1
Blue Mounds,BLMO1,IMPFSPED,US,MN,27133,271339000,43.7158,-96.1913,473,6/1/02,12/29/15,-999,Unknown,-999,-999,,STATE,IMPROVE,2
Bondville,BOND1,IMPFSPED,US,IL,17019,170191001,40.052,-88.3733,263,3/8/01,12/31/18,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Bosque del Apache,BOAP1,IMPFSPED,US,NM,35053,350539000,33.8695,-106.852,1389,4/15/00,12/31/18,-999,Unknown,-999,-999,,FWS,IMPROVE,1
Boulder Lake,BOLA1,IMPFSPED,US,WY,56035,-999,42.84648,-109.63973,2296,8/26/09,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
Boundary Waters Canoe Area,BOWA1,IMPFSPED,US,MN,27075,270759000,47.9466,-91.4955,526,6/1/91,12/31/18,-999,Unknown,-999,NADP,"Site, 20 mi ENE of  Ely, MN",USFS,IMPROVE,1
Breton,BRET1,IMPFSPED,US,LA,22075,220759000,29.1189,-89.2066,11,8/16/00,8/29/05,-999,Unknown,-999,-999,,FWS,IMPROVE,1
Breton Island,BRIS1,IMPFSPED,US,LA,22075,220759000,30.10863,-89.76168,-7,1/16/08,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,2
Bridger Wilderness,BRID1,IMPFSPED,US,WY,56035,560359000,42.9749,-109.7579,2626,3/2/88,12/31/18,-999,Unknown,-999,Whit,"e Pine ski area 10 miles E of Pinedale, WY, near Fremont Lake",USFS,IMPROVE,1
Bridgton,BRMA1,IMPFSPED,US,ME,23005,230050103,44.1074,-70.7292,233,3/14/01,12/29/15,-999,Unknown,-999,Brid,"gton, ME",STATE,IMPROVE,1
Brigantine NWR,BRIG1,IMPFSPED,US,NJ,34001,340019000,39.465,-74.4492,5,9/4/91,12/31/18,-999,Unknown,-999,Edwi,"n D. Forsythe NWR Headquarters, Oceanville, NJ",FWS,IMPROVE,1
Brooklyn Lake,BRLA1,IMPFSPED,US,WY,56001,560019000,41.3662,-106.2418,3196,7/31/93,1/31/04,-999,Unknown,-999,Snow,"y Range, 15 miles NW of Centennial, WY, at Brooklyn Lake",-999,IMPROVE,1
Bryce Canyon NP,BRCA1,IMPFSPED,US,UT,49017,490170101,37.6184,-112.1736,2481,3/2/88,12/31/18,-999,Unknown,-999,2.5,"miles S of VC at water tanks, near Sunset Point",NPS,IMPROVE,1
Cabinet Mountains,CABI1,IMPFSPED,US,MT,30089,300899000,47.9549,-115.6709,1441,7/26/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Cadiz,CADI1,IMPFSPED,US,KY,21221,212219000,36.7842,-87.8501,191,3/8/01,12/31/10,-999,Unknown,-999,-999,,EPA,IMPROVE,1
