cluster number,cluster name,FIPS
1,"Semi-Urban, High Socioeconomic Status",01001
1,"Semi-Urban, High Socioeconomic Status",01003
2,"Semi-Urban, Mid/Low Socioeconomic Status",01005
5,"Rural, Mid/Low Socioeconomic Status",01007
4,"Mostly Rural, Mid Socioeconomic Status",01009
2,"Semi-Urban, Mid/Low Socioeconomic Status",01011
2,"Semi-Urban, Mid/Low Socioeconomic Status",01013
1,"Semi-Urban, High Socioeconomic Status",01015
2,"Semi-Urban, Mid/Low Socioeconomic Status",01017
8,"Rural, High Socioeconomic Status",01019
4,"Mostly Rural, Mid Socioeconomic Status",01021
2,"Semi-Urban, Mid/Low Socioeconomic Status",01023
2,"Semi-Urban, Mid/Low Socioeconomic Status",01025
4,"Mostly Rural, Mid Socioeconomic Status",01027
4,"Mostly Rural, Mid Socioeconomic Status",01029
1,"Semi-Urban, High Socioeconomic Status",01031
4,"Mostly Rural, Mid Socioeconomic Status",01033
2,"Semi-Urban, Mid/Low Socioeconomic Status",01035
2,"Semi-Urban, Mid/Low Socioeconomic Status",01037
4,"Mostly Rural, Mid Socioeconomic Status",01039
4,"Mostly Rural, Mid Socioeconomic Status",01041
4,"Mostly Rural, Mid Socioeconomic Status",01043
1,"Semi-Urban, High Socioeconomic Status",01045
2,"Semi-Urban, Mid/Low Socioeconomic Status",01047
4,"Mostly Rural, Mid Socioeconomic Status",01049
1,"Semi-Urban, High Socioeconomic Status",01051
2,"Semi-Urban, Mid/Low Socioeconomic Status",01053
4,"Mostly Rural, Mid Socioeconomic Status",01055
4,"Mostly Rural, Mid Socioeconomic Status",01057
4,"Mostly Rural, Mid Socioeconomic Status",01059
4,"Mostly Rural, Mid Socioeconomic Status",01061
2,"Semi-Urban, Mid/Low Socioeconomic Status",01063
2,"Semi-Urban, Mid/Low Socioeconomic Status",01065
4,"Mostly Rural, Mid Socioeconomic Status",01067
2,"Semi-Urban, Mid/Low Socioeconomic Status",01069
4,"Mostly Rural, Mid Socioeconomic Status",01071
2,"Semi-Urban, Mid/Low Socioeconomic Status",01073
4,"Mostly Rural, Mid Socioeconomic Status",01075
4,"Mostly Rural, Mid Socioeconomic Status",01077
4,"Mostly Rural, Mid Socioeconomic Status",01079
1,"Semi-Urban, High Socioeconomic Status",01081
4,"Mostly Rural, Mid Socioeconomic Status",01083
2,"Semi-Urban, Mid/Low Socioeconomic Status",01085
2,"Semi-Urban, Mid/Low Socioeconomic Status",01087
1,"Semi-Urban, High Socioeconomic Status",01089
2,"Semi-Urban, Mid/Low Socioeconomic Status",01091
4,"Mostly Rural, Mid Socioeconomic Status",01093
4,"Mostly Rural, Mid Socioeconomic Status",01095
2,"Semi-Urban, Mid/Low Socioeconomic Status",01097
2,"Semi-Urban, Mid/Low Socioeconomic Status",01099
2,"Semi-Urban, Mid/Low Socioeconomic Status",01101
4,"Mostly Rural, Mid Socioeconomic Status",01103
2,"Semi-Urban, Mid/Low Socioeconomic Status",01105
2,"Semi-Urban, Mid/Low Socioeconomic Status",01107
2,"Semi-Urban, Mid/Low Socioeconomic Status",01109
4,"Mostly Rural, Mid Socioeconomic Status",01111
2,"Semi-Urban, Mid/Low Socioeconomic Status",01113
4,"Mostly Rural, Mid Socioeconomic Status",01115
1,"Semi-Urban, High Socioeconomic Status",01117
2,"Semi-Urban, Mid/Low Socioeconomic Status",01119
2,"Semi-Urban, Mid/Low Socioeconomic Status",01121
4,"Mostly Rural, Mid Socioeconomic Status",01123
1,"Semi-Urban, High Socioeconomic Status",01125
4,"Mostly Rural, Mid Socioeconomic Status",01127
4,"Mostly Rural, Mid Socioeconomic Status",01129
2,"Semi-Urban, Mid/Low Socioeconomic Status",01131
4,"Mostly Rural, Mid Socioeconomic Status",01133
6,"Young, Urban, Mid/High Socioeconomic Status",02013
6,"Young, Urban, Mid/High Socioeconomic Status",02016
1,"Semi-Urban, High Socioeconomic Status",02020
7,"Rural, American Indian",02050
7,"Rural, American Indian",02060
4,"Mostly Rural, Mid Socioeconomic Status",02068
7,"Rural, American Indian",02070
1,"Semi-Urban, High Socioeconomic Status",02090
4,"Mostly Rural, Mid Socioeconomic Status",02100
1,"Semi-Urban, High Socioeconomic Status",02110
4,"Mostly Rural, Mid Socioeconomic Status",02122
1,"Semi-Urban, High Socioeconomic Status",02130
6,"Young, Urban, Mid/High Socioeconomic Status",02150
7,"Rural, American Indian",02164
4,"Mostly Rural, Mid Socioeconomic Status",02170
7,"Rural, American Indian",02180
7,"Rural, American Indian",02185
7,"Rural, American Indian",02188
7,"Rural, American Indian",02201
1,"Semi-Urban, High Socioeconomic Status",02220
4,"Mostly Rural, Mid Socioeconomic Status",02232
5,"Rural, Mid/Low Socioeconomic Status",02240
4,"Mostly Rural, Mid Socioeconomic Status",02261
7,"Rural, American Indian",02270
4,"Mostly Rural, Mid Socioeconomic Status",02280
7,"Rural, American Indian",02282
7,"Rural, American Indian",02290
7,"Rural, American Indian",04001
3,"Semi-Urban, Hispanic",04003
1,"Semi-Urban, High Socioeconomic Status",04005
4,"Mostly Rural, Mid Socioeconomic Status",04007
3,"Semi-Urban, Hispanic",04009
3,"Semi-Urban, Hispanic",04011
4,"Mostly Rural, Mid Socioeconomic Status",04012
1,"Semi-Urban, High Socioeconomic Status",04013
4,"Mostly Rural, Mid Socioeconomic Status",04015
7,"Rural, American Indian",04017
3,"Semi-Urban, Hispanic",04019
3,"Semi-Urban, Hispanic",04021
3,"Semi-Urban, Hispanic",04023
4,"Mostly Rural, Mid Socioeconomic Status",04025
3,"Semi-Urban, Hispanic",04027
4,"Mostly Rural, Mid Socioeconomic Status",05001
4,"Mostly Rural, Mid Socioeconomic Status",05003
4,"Mostly Rural, Mid Socioeconomic Status",05005
1,"Semi-Urban, High Socioeconomic Status",05007
4,"Mostly Rural, Mid Socioeconomic Status",05009
2,"Semi-Urban, Mid/Low Socioeconomic Status",05011
4,"Mostly Rural, Mid Socioeconomic Status",05013
