county_type,County,year,annual_mean_all,State,State_Name
1,01079,2001,11.045616666666668,1,AL
1,01079,2002,10.920786238532111,1,AL
1,01079,2003,11.321780733944955,1,AL
1,01079,2004,10.35966517857143,1,AL
1,01079,2005,11.91772966101695,1,AL
1,01079,2006,10.976425217391304,1,AL
1,01079,2007,12.071071929824562,1,AL
1,01079,2008,9.200246363636364,1,AL
1,01079,2009,7.380336458333334,1,AL
1,01079,2010,8.545699107142857,1,AL
1,01079,2011,9.402008421052631,1,AL
1,01079,2012,7.247759633027523,1,AL
1,01079,2013,6.970001834862385,1,AL
1,01079,2014,7.469870192307693,1,AL
1,01079,2015,6.810129385964912,1,AL
1,01079,2016,6.44241686440678,1,AL
1,01079,2017,6.2744292561983475,1,AL
1,01079,2018,6.271530254237288,1,AL
1,04001,2001,3.4953416666666666,4,AZ
1,04001,2002,3.357195575221239,4,AZ
1,04001,2003,3.3356394736842105,4,AZ
1,04001,2004,2.5678478632478634,4,AZ
1,04001,2005,2.983122881355932,4,AZ
1,04001,2006,2.4691825688073394,4,AZ
1,04001,2007,2.9589247863247863,4,AZ
1,04001,2008,3.7168897435897437,4,AZ
1,04001,2009,2.9755354545454544,4,AZ
1,04001,2010,2.3919736363636366,4,AZ
1,04001,2011,2.756002105263158,4,AZ
1,04001,2012,3.337370909090909,4,AZ
1,04001,2013,2.8429324324324323,4,AZ
1,04001,2014,2.804667676767677,4,AZ
1,04001,2015,2.2703470689655174,4,AZ
1,04001,2016,2.3113634782608696,4,AZ
1,04001,2017,2.794211592920354,4,AZ
1,04001,2018,2.2524595327102803,4,AZ
1,04005,2000,4.809491325242718,4,AZ
1,04005,2001,5.086369928139984,4,AZ
1,04005,2002,4.963992862324097,4,AZ
1,04005,2003,4.550404023307436,4,AZ
1,04005,2004,4.603377851698807,4,AZ
1,04005,2005,4.577455202839756,4,AZ
1,04005,2006,4.399674444033189,4,AZ
1,04005,2007,5.300193958534687,4,AZ
1,04005,2008,4.403219545853124,4,AZ
1,04005,2009,4.717711549697332,4,AZ
1,04005,2010,3.891778893501967,4,AZ
1,04005,2011,4.15692047970253,4,AZ
1,04005,2012,4.756129404932177,4,AZ
