County,county_type,year,annual_mean_all,total_pop,pop_density,housing_density,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone,popd_q,hhinc_q
01027,0,2000,16.127619,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2001,12.808107999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2002,13.199152999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2003,13.488287999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2004,13.015789,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2005,13.473333,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2006,13.012397,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2007,12.858474999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2008,10.8,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2009,9.132773,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2010,10.536283,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2011,10.60339,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2012,8.887603,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2013,8.045762999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2014,8.903509,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2015,8.254464,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2016,7.363792999999999,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
01027,0,2017,7.9067799999999995,13932,23.1,11.2,35595,6,1,4,0.003947746195808211,Southeast,"(10.6,32]","[2.47e+04,3.64e+04]"
