GEOID,most_common_ruca,ruca_rural
01083,4,1
04015,4,1
05081,7,1
06017,4,1
06069,4,1
08093,10,1
10005,4,1
12045,7,1
12089,4,1
13045,4,1
13189,7,1
13225,4,1
16023,10,1
16041,10,1
17005,8,1
17027,7,1
17053,7,1
17063,4,1
17073,4,1
18115,10,1
18143,5,1
18145,4,1
18161,10,1
18179,7,1
19017,7,1
19077,10,1
19105,10,1
19149,7,1
19183,7,1
20043,10,1
20079,4,1
20103,4,1
20149,7,1
21003,8,1
21017,4,1
21047,4,1
21049,4,1
21209,4,1
21211,4,1
21221,10,1
21223,5,1
21239,4,1
22001,6,1
22023,10,1
22075,7,1
22119,4,1
23023,5,1
24047,4,1
26117,10,1
27017,4,1
27045,10,1
27055,10,1
27095,10,1
28029,7,1
28143,10,1
28163,4,1
29027,4,1
29063,7,1
29167,7,1
30009,10,1
31081,10,1
31121,10,1
31159,7,1
36043,4,1
36073,7,1
36075,4,1
36123,7,1
37037,7,1
37101,4,1
37151,4,1
37157,4,1
38065,10,1
38085,10,1
39045,4,1
39073,9,1
40051,4,1
40081,6,1
40083,7,1
40111,4,1
41053,4,1
41071,4,1
45031,4,1
45057,4,1
45059,4,1
45081,6,1
45087,4,1
46087,10,1
46093,7,1
46125,10,1
46127,10,1
47023,8,1
47043,4,1
47081,10,1
47111,10,1
47119,4,1
47147,4,1
47159,9,1
48007,4,1
48015,7,1
48065,10,1
48221,4,1
48231,4,1
48253,10,1
48359,10,1
48401,4,1
48409,4,1
49023,7,1
49045,4,1
50011,8,1
51047,5,1
51155,4,1
51157,10,1
51187,4,1
53013,7,1
53051,10,1
53065,10,1
55045,4,1
55061,7,1
55083,10,1
55093,10,1
